epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.4974,1.9748,4.18723,2.27517,0.00728,0.83333,0.38781,0.18438,1.7844,3.40693,2.23695,0.0001667,0.0001667,0.0001667
2,21.134,1.72687,3.29655,1.99489,0.00747,0.83333,0.7133,0.40382,1.40096,2.91305,1.66856,0.000315413,0.000315413,0.000315413
3,27.3208,1.72824,2.94258,1.97182,0.00858,0.83333,0.7857,0.38559,1.55196,2.6554,1.65194,0.000427819,0.000427819,0.000427819
4,33.1935,1.70833,2.70207,1.9216,0.76233,0.53699,0.68991,0.35779,1.59035,2.58605,1.79599,0.000503917,0.000503917,0.000503917
5,39.1995,1.68477,2.7146,1.92434,0.00818,0.91667,0.85816,0.39459,1.56599,2.52907,1.6937,0.000543709,0.000543709,0.000543709
6,45.1818,1.65025,2.568,1.87479,0.87347,0.66667,0.79619,0.44672,1.51199,2.29712,1.63637,0.000547193,0.000547193,0.000547193
7,48.6669,1.5548,2.41704,1.81765,0.52377,0.58333,0.68652,0.36144,1.49759,2.07467,1.60542,0.00051437,0.00051437,0.00051437
8,52.294,1.57775,2.24257,1.73696,0.90564,0.80172,0.8711,0.44708,1.44456,1.93544,1.55119,0.000445239,0.000445239,0.000445239
9,57.4749,1.53723,2.20031,1.73145,1,0.90904,0.95192,0.49423,1.40319,1.64779,1.53169,0.000339801,0.000339801,0.000339801
10,62.7607,1.51175,2.12158,1.76358,0.97469,0.91667,0.947,0.54385,1.42755,1.44038,1.51026,0.000181703,0.000181703,0.000181703
