epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.5724,1.81142,3.64817,1.91743,0.82335,0.04465,0.14537,0.05567,2.02637,3.43508,2.18327,0.000364455,0.000364455,0.000364455
2,77.1683,1.76878,3.05327,1.83622,0.72364,0.14667,0.18441,0.08454,1.93818,4.02268,2.22534,0.000727514,0.000727514,0.000727514
3,111.558,1.82059,2.9038,1.87504,0.26308,0.39254,0.26429,0.09436,2.14248,3.0047,2.13351,0.00108324,0.00108324,0.00108324
4,142.984,1.82705,2.70784,1.84053,0.3491,0.3786,0.34738,0.14188,2.04445,3.24853,2.29071,0.001078,0.001078,0.001078
5,177.291,1.81012,2.54944,1.84487,0.34707,0.49423,0.39635,0.16343,2.00761,3.0698,2.17808,0.001067,0.001067,0.001067
6,211.734,1.80424,2.44825,1.83135,0.33372,0.58125,0.43098,0.20393,1.81833,2.49697,1.86827,0.00105601,0.00105601,0.00105601
7,243.655,1.77176,2.30987,1.81205,0.48876,0.40793,0.51163,0.2417,1.8765,2.16596,2.04277,0.00104501,0.00104501,0.00104501
8,277.376,1.73168,2.18279,1.75475,0.6065,0.44446,0.4904,0.23911,1.84834,2.25057,2.00183,0.00103401,0.00103401,0.00103401
9,311.905,1.75833,2.13533,1.76796,0.54405,0.61822,0.62808,0.27923,1.84335,1.93438,1.87473,0.00102301,0.00102301,0.00102301
10,344.622,1.70988,2.0686,1.73543,0.60924,0.57211,0.59415,0.28718,1.79879,2.05179,1.94464,0.00101201,0.00101201,0.00101201
11,376.574,1.70846,2.0087,1.75617,0.63531,0.54303,0.58714,0.2652,1.81094,1.9976,1.87994,0.00100101,0.00100101,0.00100101
12,410.519,1.70705,1.97208,1.72654,0.65653,0.52991,0.6247,0.30148,1.7905,1.70751,1.87119,0.000990012,0.000990012,0.000990012
13,443.918,1.6958,1.96192,1.73901,0.72679,0.63137,0.66203,0.33869,1.75186,1.72777,1.86364,0.000979013,0.000979013,0.000979013
14,475.55,1.69586,1.90918,1.74606,0.68067,0.65927,0.69963,0.35292,1.83048,1.60522,1.90215,0.000968014,0.000968014,0.000968014
15,510.154,1.66764,1.79676,1.70111,0.70983,0.71387,0.7342,0.36357,1.71085,1.48585,1.73594,0.000957015,0.000957015,0.000957015
16,544.919,1.65272,1.80229,1.69746,0.79202,0.61252,0.7125,0.37667,1.70853,1.58055,1.82647,0.000946016,0.000946016,0.000946016
17,575.577,1.67001,1.84188,1.70546,0.68402,0.59346,0.66043,0.38123,1.60535,1.98761,1.7197,0.000935018,0.000935018,0.000935018
18,609.716,1.63864,1.78354,1.68467,0.74666,0.72476,0.73705,0.42277,1.68328,1.52689,1.73331,0.000924019,0.000924019,0.000924019
19,644.577,1.63643,1.76926,1.68668,0.73077,0.6398,0.71726,0.37219,1.72235,1.51128,1.79067,0.00091302,0.00091302,0.00091302
20,675.308,1.62471,1.71631,1.67974,0.67173,0.63988,0.67323,0.34053,1.65991,1.53726,1.78675,0.000902021,0.000902021,0.000902021
21,708.459,1.62931,1.65216,1.66627,0.68426,0.7179,0.73302,0.40847,1.64667,1.50148,1.76264,0.000891022,0.000891022,0.000891022
22,743.202,1.60834,1.63434,1.65798,0.85949,0.70419,0.8047,0.39846,1.76539,1.37804,1.78538,0.000880023,0.000880023,0.000880023
23,775.196,1.60287,1.62025,1.66749,0.68249,0.75688,0.78592,0.43194,1.65077,1.31052,1.7564,0.000869024,0.000869024,0.000869024
24,807.774,1.56482,1.55446,1.62779,0.80561,0.70427,0.78348,0.46464,1.52732,1.24547,1.64782,0.000858025,0.000858025,0.000858025
25,842.056,1.57582,1.55911,1.62529,0.74986,0.73733,0.75106,0.46177,1.50758,1.35045,1.63942,0.000847026,0.000847026,0.000847026
26,875.273,1.5746,1.50992,1.63627,0.74334,0.78453,0.80657,0.43703,1.59132,1.30786,1.6788,0.000836027,0.000836027,0.000836027
27,906.32,1.57093,1.52292,1.61799,0.82819,0.68118,0.80818,0.45741,1.53018,1.37221,1.65231,0.000825029,0.000825029,0.000825029
28,939.66,1.56198,1.52778,1.61737,0.77618,0.70692,0.7597,0.42476,1.50174,1.32994,1.61906,0.00081403,0.00081403,0.00081403
29,974.459,1.5714,1.52592,1.62272,0.72055,0.81133,0.78573,0.42758,1.58815,1.2404,1.67034,0.000803031,0.000803031,0.000803031
30,1005.94,1.53874,1.45921,1.59702,0.80629,0.79223,0.81902,0.47537,1.50798,1.13527,1.61171,0.000792032,0.000792032,0.000792032
31,1040.21,1.50938,1.45681,1.58911,0.82072,0.74149,0.80994,0.46493,1.54724,1.25932,1.62672,0.000781033,0.000781033,0.000781033
32,1074.54,1.53313,1.43199,1.59848,0.83643,0.82824,0.85264,0.49131,1.50713,1.14222,1.64287,0.000770034,0.000770034,0.000770034
33,1107.22,1.54265,1.45298,1.60379,0.62623,0.79856,0.78643,0.46778,1.55769,1.23285,1.64943,0.000759035,0.000759035,0.000759035
34,1138.82,1.52165,1.4088,1.58558,0.82576,0.85361,0.86541,0.52342,1.46616,1.08392,1.58984,0.000748036,0.000748036,0.000748036
35,1173.64,1.53967,1.43001,1.59116,0.78093,0.76661,0.8233,0.47167,1.56573,1.16067,1.65493,0.000737037,0.000737037,0.000737037
36,1207.17,1.49148,1.35981,1.57164,0.74955,0.8122,0.8195,0.46484,1.52107,1.18012,1.5987,0.000726038,0.000726038,0.000726038
37,1238.5,1.49782,1.38676,1.57341,0.80075,0.81623,0.83886,0.46489,1.51648,1.1445,1.63287,0.00071504,0.00071504,0.00071504
38,1272.48,1.47244,1.34218,1.56409,0.84206,0.80615,0.88207,0.53606,1.42091,1.02767,1.54118,0.000704041,0.000704041,0.000704041
39,1307.53,1.4509,1.29388,1.54041,0.87181,0.78601,0.88478,0.5307,1.42765,0.98094,1.49856,0.000693042,0.000693042,0.000693042
40,1338.6,1.47419,1.3107,1.55649,0.91116,0.76645,0.86948,0.55329,1.35169,1.00588,1.46586,0.000682043,0.000682043,0.000682043
41,1373.06,1.47021,1.33146,1.54405,0.84564,0.81996,0.8705,0.52055,1.45231,1.04077,1.53783,0.000671044,0.000671044,0.000671044
42,1407.1,1.42249,1.2528,1.51691,0.87805,0.81754,0.87774,0.52327,1.42534,1.03242,1.51701,0.000660045,0.000660045,0.000660045
43,1438.22,1.43471,1.22566,1.52364,0.86606,0.79643,0.90233,0.53864,1.38969,0.97638,1.4994,0.000649046,0.000649046,0.000649046
44,1471.77,1.40692,1.2809,1.5273,0.84299,0.8686,0.9015,0.55662,1.26368,0.92384,1.40575,0.000638047,0.000638047,0.000638047
45,1506.23,1.4378,1.26429,1.54523,0.86238,0.83333,0.88954,0.57833,1.31541,0.96386,1.42818,0.000627048,0.000627048,0.000627048
46,1538.61,1.43868,1.20717,1.51166,0.85071,0.90054,0.89783,0.5707,1.27523,0.91467,1.42757,0.000616049,0.000616049,0.000616049
47,1571,1.43008,1.2294,1.52502,0.86316,0.79528,0.89216,0.55845,1.33963,0.93615,1.44315,0.000605051,0.000605051,0.000605051
48,1605.54,1.43913,1.24607,1.52611,0.84982,0.85888,0.8759,0.57101,1.3187,0.96799,1.45012,0.000594052,0.000594052,0.000594052
49,1639.44,1.41331,1.17661,1.51438,0.8128,0.88469,0.89827,0.59163,1.23599,0.93365,1.42032,0.000583053,0.000583053,0.000583053
50,1670.81,1.4108,1.21144,1.52036,0.86863,0.84101,0.89768,0.56828,1.35781,0.92299,1.48199,0.000572054,0.000572054,0.000572054
51,1704.5,1.38167,1.1673,1.49108,0.8426,0.85276,0.88291,0.56065,1.33686,0.91004,1.47058,0.000561055,0.000561055,0.000561055
52,1739.36,1.41249,1.20718,1.49499,0.86739,0.84644,0.86901,0.58066,1.28902,0.95498,1.41602,0.000550056,0.000550056,0.000550056
53,1769.65,1.40012,1.21813,1.50453,0.8687,0.87616,0.91273,0.57737,1.33558,0.89959,1.42701,0.000539057,0.000539057,0.000539057
54,1802.52,1.40081,1.17258,1.51382,0.89646,0.85289,0.90395,0.58347,1.31861,0.92199,1.44517,0.000528058,0.000528058,0.000528058
55,1836.57,1.38553,1.12532,1.48502,0.89012,0.87174,0.91061,0.57044,1.29219,0.89094,1.43254,0.000517059,0.000517059,0.000517059
56,1869.45,1.37579,1.11776,1.48021,0.86968,0.90093,0.90307,0.55647,1.3654,0.87702,1.46691,0.00050606,0.00050606,0.00050606
57,1901.17,1.37099,1.09888,1.47072,0.87909,0.86294,0.90446,0.55941,1.335,0.86715,1.46898,0.000495062,0.000495062,0.000495062
58,1935.37,1.35568,1.09975,1.46265,0.90172,0.86125,0.91542,0.59134,1.24799,0.8247,1.38595,0.000484063,0.000484063,0.000484063
59,1968.76,1.38466,1.15586,1.49415,0.858,0.84409,0.9225,0.60364,1.20615,0.82365,1.35465,0.000473064,0.000473064,0.000473064
60,2000.33,1.3377,1.10671,1.45702,0.89915,0.88662,0.91266,0.61485,1.22693,0.80163,1.3624,0.000462065,0.000462065,0.000462065
61,2034.78,1.34043,1.10883,1.45758,0.87404,0.92524,0.91211,0.584,1.25581,0.8039,1.43086,0.000451066,0.000451066,0.000451066
62,2068.27,1.33762,1.08128,1.4839,0.89212,0.87259,0.91422,0.61952,1.20285,0.78891,1.35889,0.000440067,0.000440067,0.000440067
63,2099.51,1.3441,1.07192,1.46536,0.87323,0.88477,0.91845,0.5899,1.20062,0.76572,1.35214,0.000429068,0.000429068,0.000429068
64,2133.53,1.32797,1.05521,1.43986,0.91326,0.84782,0.9273,0.62293,1.19822,0.7612,1.34202,0.000418069,0.000418069,0.000418069
65,2168.73,1.34787,1.0714,1.46203,0.87479,0.89968,0.91471,0.60096,1.23027,0.81442,1.35783,0.00040707,0.00040707,0.00040707
66,2201.12,1.30322,1.05631,1.43371,0.88677,0.88743,0.90267,0.59121,1.19927,0.81159,1.33806,0.000396071,0.000396071,0.000396071
67,2232.84,1.29193,1.03564,1.43437,0.87543,0.91038,0.90846,0.59275,1.20424,0.81296,1.37048,0.000385073,0.000385073,0.000385073
68,2268.21,1.31783,1.03962,1.44043,0.89931,0.86128,0.91152,0.57815,1.21001,0.80319,1.35308,0.000374074,0.000374074,0.000374074
69,2300.57,1.28191,1.02985,1.42245,0.92823,0.89921,0.92329,0.63645,1.19753,0.79694,1.34481,0.000363075,0.000363075,0.000363075
70,2331.75,1.29838,1.02335,1.42562,0.90903,0.93361,0.93709,0.66788,1.07472,0.6786,1.25951,0.000352076,0.000352076,0.000352076
71,2365.9,1.27444,0.96272,1.40999,0.89636,0.91418,0.91183,0.60469,1.20354,0.77221,1.35908,0.000341077,0.000341077,0.000341077
72,2399.6,1.28178,1.00781,1.41807,0.90552,0.90501,0.92293,0.63488,1.14858,0.73779,1.30794,0.000330078,0.000330078,0.000330078
73,2431.7,1.27888,0.99956,1.40012,0.86825,0.93261,0.9287,0.63264,1.13993,0.73895,1.33031,0.000319079,0.000319079,0.000319079
74,2464.02,1.29072,0.99439,1.41809,0.89926,0.90287,0.92433,0.64278,1.13152,0.69902,1.28765,0.00030808,0.00030808,0.00030808
75,2498.89,1.2707,0.96391,1.40109,0.86058,0.92095,0.91237,0.644,1.07243,0.74267,1.25765,0.000297081,0.000297081,0.000297081
76,2530.85,1.24102,0.96589,1.38497,0.86862,0.93735,0.91955,0.65207,1.03677,0.72944,1.24977,0.000286083,0.000286083,0.000286083
77,2563.11,1.26311,0.9994,1.40698,0.90128,0.9102,0.9312,0.67185,1.04374,0.71361,1.24423,0.000275084,0.000275084,0.000275084
78,2597.25,1.25118,0.97145,1.40104,0.90781,0.91939,0.94232,0.65958,1.04835,0.71998,1.2579,0.000264085,0.000264085,0.000264085
79,2632.36,1.25125,0.96845,1.40565,0.92213,0.89856,0.93639,0.67556,1.03314,0.69751,1.23147,0.000253086,0.000253086,0.000253086
80,2663.15,1.2548,0.95801,1.39765,0.89683,0.91897,0.9227,0.64797,1.02841,0.71678,1.22824,0.000242087,0.000242087,0.000242087
81,2696.42,1.22362,0.94111,1.3777,0.89252,0.8892,0.92286,0.66665,1.0282,0.68849,1.23525,0.000231088,0.000231088,0.000231088
82,2731.25,1.23072,0.9271,1.39061,0.88911,0.91466,0.9288,0.6634,1.02891,0.68775,1.23339,0.000220089,0.000220089,0.000220089
83,2763.17,1.22795,0.93067,1.37929,0.89347,0.89738,0.92256,0.6582,1.06787,0.71466,1.25272,0.00020909,0.00020909,0.00020909
84,2796.12,1.22277,0.93959,1.3741,0.90417,0.91598,0.93429,0.67848,0.9844,0.70067,1.19142,0.000198091,0.000198091,0.000198091
85,2831.02,1.21526,0.90707,1.37783,0.88875,0.91748,0.92999,0.67463,1.01681,0.68035,1.22268,0.000187092,0.000187092,0.000187092
86,2862.18,1.21375,0.92894,1.36599,0.88533,0.91457,0.92719,0.66972,0.97838,0.67673,1.1831,0.000176094,0.000176094,0.000176094
87,2895.48,1.18032,0.87866,1.33821,0.90136,0.9229,0.94119,0.68485,0.96863,0.67713,1.1885,0.000165095,0.000165095,0.000165095
88,2929.84,1.18584,0.87517,1.35326,0.88342,0.9475,0.93749,0.69029,0.96763,0.66812,1.1834,0.000154096,0.000154096,0.000154096
89,2963.74,1.19992,0.8932,1.37423,0.90734,0.9375,0.93241,0.6876,0.95508,0.64706,1.17554,0.000143097,0.000143097,0.000143097
90,2994.63,1.19992,0.91812,1.37673,0.89092,0.92689,0.93126,0.69675,0.94245,0.65407,1.16996,0.000132098,0.000132098,0.000132098
91,3029.65,1.11147,0.74166,1.35899,0.88656,0.90008,0.93188,0.68173,0.99798,0.67778,1.20264,0.000121099,0.000121099,0.000121099
92,3062.12,1.06672,0.67765,1.32715,0.9146,0.9144,0.93292,0.68077,1.00123,0.66694,1.20192,0.0001101,0.0001101,0.0001101
93,3091.87,1.05521,0.65663,1.32787,0.88862,0.88867,0.92188,0.67043,0.9794,0.66658,1.20233,9.91012e-05,9.91012e-05,9.91012e-05
94,3124.64,1.04396,0.6586,1.31658,0.89696,0.89972,0.92222,0.68614,0.96233,0.65293,1.19498,8.81023e-05,8.81023e-05,8.81023e-05
95,3153.83,1.05605,0.65263,1.3276,0.88727,0.90347,0.92671,0.68834,0.95752,0.65098,1.1906,7.71034e-05,7.71034e-05,7.71034e-05
96,3185.68,1.02378,0.6299,1.30001,0.90089,0.92097,0.92441,0.69133,0.93607,0.63657,1.17075,6.61045e-05,6.61045e-05,6.61045e-05
97,3215.88,1.0276,0.66576,1.29384,0.87699,0.92354,0.92747,0.70351,0.9254,0.63913,1.16432,5.51056e-05,5.51056e-05,5.51056e-05
98,3247.5,1.00944,0.63199,1.2939,0.8858,0.91444,0.92993,0.70827,0.91629,0.63085,1.15702,4.41067e-05,4.41067e-05,4.41067e-05
99,3280.34,0.99902,0.62835,1.27644,0.8899,0.93566,0.92815,0.69874,0.91442,0.62095,1.15045,3.31078e-05,3.31078e-05,3.31078e-05
100,3309.47,1.03032,0.61775,1.28319,0.8896,0.92136,0.92615,0.69463,0.90871,0.62584,1.14726,2.21089e-05,2.21089e-05,2.21089e-05
